neighbourhood_group_n,neighbourhood_n,room_type_n,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
0,73,2,3,1,10,281
1,50,1,5,7,1,1
0,12,1,3,0,1,359
2,46,0,2,0,2,90
1,43,1,2,4,1,0
0,6,1,2,11,1,6
1,8,1,1,0,1,0
1,23,0,2,1,1,0
1,28,1,31,6,33,326
0,12,1,3,32,3,78
0,21,0,4,1,2,0
1,8,0,5,55,1,0
0,12,1,7,3,1,43
0,13,0,30,0,25,305
1,2,0,2,3,1,364
1,19,1,2,1,1,0
0,3,1,10,0,1,0
1,11,1,5,1,1,365
1,28,1,3,2,1,0
1,28,0,3,7,1,131
1,27,0,3,51,3,276
0,12,1,10,0,1,0
0,6,1,30,1,2,111
1,2,0,7,0,1,0
0,12,0,2,18,2,5
0,20,1,2,37,1,229
0,12,0,5,0,1,43
1,8,1,30,1,232,218
1,19,0,26,58,3,129
2,63,1,1,143,1,282
2,83,0,3,1,1,59
1,52,1,4,11,1,259
1,19,1,3,107,1,99
0,10,0,1,49,4,24
1,28,1,2,12,1,363
0,32,0,1,4,2,0
2,56,1,7,12,1,3
0,15,1,4,13,2,0
1,8,1,1,3,1,0
1,14,1,3,63,1,323
2,95,0,1,0,1,0
1,52,0,1,0,1,0
1,7,1,5,46,1,228
0,12,1,3,25,1,0
0,21,0,2,12,1,3
1,19,1,365,4,5,305
2,126,1,4,24,2,157
1,2,0,5,17,1,119
1,14,0,30,0,1,270
0,21,0,2,0,3,280
0,6,0,3,1,1,0
0,24,1,2,15,1,20
0,15,0,1,0,1,66
1,19,1,30,0,49,364
2,160,2,4,1,7,365
1,8,1,1,0,1,0
0,13,0,14,18,1,128
1,5,1,3,0,3,294
0,84,0,1,17,3,67
1,77,1,3,0,1,11
2,63,0,2,3,3,364
1,43,1,30,0,1,310
1,7,0,3,49,1,216
1,7,1,2,1,1,9
1,7,0,7,3,47,348
2,39,1,30,3,1,213
3,93,1,2,103,1,73
0,12,1,8,6,1,0
2,44,0,2,7,1,104
1,2,0,3,76,3,281
0,38,1,3,12,1,0
3,55,1,7,35,1,326
2,49,1,3,68,1,299
2,25,0,1,63,6,356
2,116,0,1,0,3,364
1,1,1,1,2,1,0
0,13,0,2,206,2,0
2,56,0,2,0,2,357
1,7,1,9,2,1,12
0,21,0,5,26,4,325
1,1,0,1,3,1,0
1,1,0,1,12,5,287
0,10,1,1,183,1,1
1,2,0,2,13,1,65
4,57,0,2,33,1,47
0,21,0,1,1,1,0
1,14,0,1,0,20,360
0,21,1,30,0,2,365
1,8,0,2,113,1,333
1,8,1,1,2,1,0
0,12,0,2,1,1,0
0,20,1,5,0,1,0
1,7,1,3,2,1,2
1,4,0,1,4,1,0
1,8,1,30,0,232,156
1,45,0,2,200,1,202
0,15,1,3,1,1,90
0,24,0,20,3,1,35
1,7,0,1,134,2,176
1,28,0,1,6,1,0
0,10,1,2,6,1,1
0,3,1,12,27,1,13
0,70,1,3,1,1,94
2,63,1,1,1,1,0
2,162,0,1,5,2,337
1,8,1,6,1,1,0
1,19,1,2,1,1,0
1,9,1,2,10,1,0
0,20,0,20,7,3,342
1,71,0,1,1,9,299
0,54,0,3,2,2,0
0,6,0,2,5,2,0
1,8,1,30,0,15,317
1,18,0,3,2,8,282
1,4,1,2,39,1,19
1,7,1,5,5,1,0
0,123,0,7,1,1,45
1,30,0,2,8,2,52
1,23,1,30,0,9,200
